Linux 2.6.32-754.35.1.el6.x86_64 (hdfs-nn1.spa.umn.edu) 	02/18/2022 	_x86_64_	(16 CPU)

01:34:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:36 PM     all      0.14      0.00      0.12      0.04      0.00     99.70
02:57:56 PM     all      0.13      0.00      0.10      0.07      0.00     99.70
02:58:16 PM     all      0.11      0.00      0.08      0.05      0.00     99.77
02:58:36 PM     all      0.13      0.00      0.12      0.05      0.00     99.71
02:58:56 PM     all      0.11      0.00      0.09      0.12      0.00     99.68
02:59:16 PM     all      0.12      0.00      0.08      0.04      0.00     99.77
02:59:36 PM     all      0.13      0.00      0.12      0.06      0.00     99.69
02:59:56 PM     all      0.13      0.00      0.10      0.09      0.00     99.68
03:00:16 PM     all      8.97      0.00      1.30      0.05      0.00     89.67
03:00:36 PM     all      9.04      0.00      0.43      0.04      0.00     90.49
03:00:56 PM     all      0.12      0.00      0.11      0.15      0.00     99.62
03:01:16 PM     all      0.13      0.00      0.08      0.06      0.00     99.73
03:01:36 PM     all      0.14      0.00      0.13      0.07      0.00     99.67
03:01:56 PM     all      0.13      0.00      0.10      0.05      0.00     99.72
03:02:16 PM     all      0.10      0.00      0.08      0.07      0.00     99.75
03:02:36 PM     all      0.13      0.00      0.12      0.03      0.00     99.72
03:02:56 PM     all      0.11      0.00      0.10      0.13      0.00     99.66
03:03:16 PM     all      0.14      0.00      0.07      0.05      0.00     99.73
03:03:36 PM     all      0.15      0.00      0.16      0.13      0.00     99.56
03:03:56 PM     all      0.11      0.00      0.09      0.06      0.00     99.74
03:04:16 PM     all      0.11      0.00      0.07      0.04      0.00     99.78
03:04:36 PM     all      0.13      0.00      0.13      0.04      0.00     99.70
03:04:56 PM     all      0.11      0.00      0.10      0.04      0.00     99.76
03:05:16 PM     all      0.14      0.00      1.53      0.14      0.00     98.19
03:05:36 PM     all      0.21      0.00      0.19      0.06      0.00     99.55
03:05:56 PM     all      0.11      0.00      0.09      0.03      0.00     99.77
03:06:16 PM     all      0.10      0.00      0.08      0.05      0.00     99.77
03:06:36 PM     all      0.13      0.00      0.14      0.08      0.00     99.66
03:06:56 PM     all      0.39      0.00      0.14      0.10      0.00     99.36
03:07:16 PM     all      0.14      0.00      0.14      0.19      0.00     99.52
03:07:36 PM     all      2.13      0.00      0.37      0.16      0.00     97.34
03:07:56 PM     all      0.13      0.00      0.09      0.08      0.00     99.70
03:08:16 PM     all      0.16      0.00      0.09      0.07      0.00     99.68
03:08:36 PM     all      0.12      0.00      0.12      0.03      0.00     99.73
03:08:56 PM     all      0.13      0.00      0.09      0.07      0.00     99.71
03:09:16 PM     all      0.12      0.00      0.08      0.09      0.00     99.70
03:09:36 PM     all      0.12      0.00      0.12      0.05      0.00     99.72
03:09:56 PM     all      0.11      0.00      0.09      0.04      0.00     99.77
03:10:16 PM     all      0.12      0.00      0.75      0.07      0.00     99.05
03:10:36 PM     all      0.23      0.00      0.21      0.06      0.00     99.50
03:10:56 PM     all      0.14      0.00      0.13      0.06      0.00     99.67
03:11:16 PM     all      0.13      0.00      0.08      0.09      0.00     99.70
03:11:36 PM     all      0.13      0.00      0.13      0.09      0.00     99.65
03:11:56 PM     all      0.13      0.00      0.10      0.07      0.00     99.71
03:12:16 PM     all      0.12      0.00      0.07      0.06      0.00     99.76
03:12:36 PM     all      0.11      0.00      0.13      0.05      0.00     99.71
03:12:56 PM     all      0.12      0.00      0.10      0.05      0.00     99.73
03:13:16 PM     all      0.11      0.00      0.08      0.08      0.00     99.73
03:13:36 PM     all      0.12      0.00      0.12      0.04      0.00     99.71
03:13:56 PM     all      0.13      0.00      0.10      0.05      0.00     99.72
03:14:16 PM     all      0.12      0.00      0.09      0.04      0.00     99.76
03:14:36 PM     all      0.13      0.00      0.13      0.05      0.00     99.70
03:14:56 PM     all      0.11      0.00      0.09      0.04      0.00     99.75
03:15:16 PM     all      9.19      0.00      1.55      0.12      0.00     89.15
03:15:36 PM     all      8.20      0.00      0.30      0.07      0.00     91.43
03:15:56 PM     all      0.13      0.00      0.11      0.13      0.00     99.63
03:16:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.78
03:16:36 PM     all      0.15      0.00      0.13      0.05      0.00     99.67
03:16:56 PM     all      0.12      0.00      0.09      0.05      0.00     99.75
03:17:16 PM     all      0.10      0.00      0.09      0.11      0.00     99.70
03:17:36 PM     all      0.12      0.00      0.13      0.06      0.00     99.69
03:17:56 PM     all      0.12      0.00      0.11      0.07      0.00     99.70
03:18:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.78
03:18:36 PM     all      0.13      0.00      0.13      0.06      0.00     99.67
03:18:56 PM     all      0.10      0.00      0.09      0.06      0.00     99.75
03:19:16 PM     all      0.13      0.00      0.08      0.11      0.00     99.67
03:19:36 PM     all      0.13      0.00      0.12      0.08      0.00     99.67
03:19:56 PM     all      0.10      0.00      0.10      0.07      0.00     99.73
03:20:16 PM     all      0.12      0.00      0.68      0.06      0.00     99.14
03:20:36 PM     all      0.23      0.00      0.19      0.05      0.00     99.53
03:20:56 PM     all      0.10      0.00      0.09      0.05      0.00     99.76
03:21:16 PM     all      0.11      0.00      0.08      0.09      0.00     99.72
03:21:36 PM     all      0.14      0.00      0.13      0.05      0.00     99.68
03:21:56 PM     all      0.10      0.00      0.09      0.04      0.00     99.77
03:22:16 PM     all      0.10      0.00      0.08      0.07      0.00     99.76
03:22:36 PM     all      0.11      0.00      0.12      0.07      0.00     99.70
03:22:56 PM     all      0.11      0.00      0.10      0.06      0.00     99.73
03:23:16 PM     all      0.16      0.00      0.09      0.11      0.00     99.64
03:23:36 PM     all      0.12      0.00      0.13      0.05      0.00     99.71
03:23:56 PM     all      0.10      0.00      0.10      0.04      0.00     99.75
03:24:16 PM     all      0.10      0.00      0.07      0.02      0.00     99.80
03:24:36 PM     all      0.16      0.00      0.16      0.06      0.00     99.63
03:24:56 PM     all      0.12      0.00      0.10      0.03      0.00     99.76
03:25:16 PM     all      0.13      0.00      1.24      0.13      0.00     98.50
03:25:36 PM     all      0.23      0.00      0.18      0.06      0.00     99.53
03:25:56 PM     all      0.12      0.00      0.10      0.04      0.00     99.74
03:26:16 PM     all      0.11      0.00      0.08      0.05      0.00     99.76
03:26:36 PM     all      0.14      0.00      0.13      0.05      0.00     99.68
03:26:56 PM     all      0.13      0.00      0.10      0.09      0.00     99.68
03:27:16 PM     all      0.11      0.00      0.08      0.11      0.00     99.70
03:27:36 PM     all      0.12      0.00      0.13      0.06      0.00     99.70
03:27:56 PM     all      0.11      0.00      0.11      0.07      0.00     99.71
03:28:16 PM     all      0.11      0.00      0.09      0.05      0.00     99.75
03:28:36 PM     all      0.14      0.00      0.12      0.08      0.00     99.66
03:28:56 PM     all      0.13      0.00      0.10      0.05      0.00     99.73
03:29:16 PM     all      0.10      0.00      0.09      0.11      0.00     99.70
03:29:36 PM     all      0.13      0.00      0.13      0.04      0.00     99.71
